조사연도,조사월,권역명,정점명,시료채취일자,수심,134Cs,137Cs,3H,분석시작일자,등록일,조사형식
2023,9,남서해역,SW0302,2023-09-06,표층,<0.066,<0.074,-,,,긴급-국내해역
2023,9,남서해역,SW0202,2023-09-06,표층,<0.077,<0.079,-,,,긴급-국내해역
2023,9,남서해역,SW0102,2023-09-06,표층,<0.081,<0.086,-,,,긴급-국내해역
2023,9,제주해역,JE0502,2023-09-03,표층,<0.075,<0.080,<6.9,,,긴급-국내해역
2023,9,제주해역,JE0402,2023-09-03,표층,<0.076,<0.078,<6.8,,,긴급-국내해역
2023,9,제주해역,JE0302,2023-09-03,표층,<0.070,<0.075,<6.8,,,긴급-국내해역
2023,9,제주해역,JE0202,2023-09-03,표층,<0.075,<0.081,<6.9,,,긴급-국내해역
2023,9,제주해역,JE0102,2023-09-03,표층,<0.081,<0.085,<6.9,,,긴급-국내해역
2023,9,남중해역,SC0503,2023-09-05,표층,<0.075,<0.080,<6.8,,,긴급-국내해역
2023,9,남중해역,SC0403,2023-09-05,표층,<0.071,<0.080,<6.9,,,긴급-국내해역
2023,9,남중해역,SC0303,2023-09-05,표층,<0.068,<0.078,<6.8,,,긴급-국내해역
2023,9,남중해역,SC0203,2023-09-05,표층,<0.076,<0.079,<6.8,,,긴급-국내해역
2023,9,남중해역,SC0103,2023-09-05,표층,<0.081,<0.089,<6.9,,,긴급-국내해역
2023,9,남동해역,SE0502,2023-09-04,표층,<0.075,<0.083,<6.9,,,긴급-국내해역
2023,9,남동해역,SE0402,2023-09-04,표층,<0.078,<0.080,<6.4,,,긴급-국내해역
2023,9,남동해역,SE0302,2023-09-04,표층,<0.072,<0.076,<6.5,,,긴급-국내해역
2023,9,남동해역,SE0202,2023-09-04,표층,<0.073,<0.081,<6.3,,,긴급-국내해역
2023,9,남동해역,SE0102,2023-09-04,표층,<0.080,<0.086,<6.5,,,긴급-국내해역
2023,8,남중해역,SC0502,2023-08-26,표층,<0.073,<0.079,<6.6,,,긴급-국내해역
2023,8,남중해역,SC0402,2023-08-26,표층,<0.075,<0.079,<6.5,,,긴급-국내해역
2023,8,남중해역,SC0302,2023-08-26,표층,<0.068,<0.078,<6.7,,,긴급-국내해역
2023,8,남중해역,SC0202,2023-08-26,표층,<0.077,<0.081,<6.4,,,긴급-국내해역
2023,8,남중해역,SC0102,2023-08-26,표층,<0.081,<0.088,<6.6,,,긴급-국내해역
2023,8,서남해역,WS0501,2023-08-26,표층,<0.074,<0.080,<6.4,,,긴급-국내해역
2023,8,서남해역,WS0401,2023-08-26,표층,<0.073,<0.074,<6.5,,,긴급-국내해역
2023,8,서남해역,WS0301,2023-08-27,표층,<0.067,<0.067,<6.4,,,긴급-국내해역
2023,8,서남해역,WS0201,2023-08-27,표층,<0.078,<0.078,<6.3,,,긴급-국내해역
2023,8,서남해역,WS0101,2023-08-27,표층,<0.078,<0.080,<6.4,,,긴급-국내해역
2023,8,제주해역,JE0501,2023-08-25,표층,<0.074,<0.081,<5.5,,,긴급-국내해역
2023,8,제주해역,JE0401,2023-08-25,표층,<0.077,<0.082,<5.5,,,긴급-국내해역
2023,8,제주해역,JE0301,2023-08-25,표층,<0.072,<0.076,<5.5,,,긴급-국내해역
2023,8,제주해역,JE0201,2023-08-25,표층,<0.074,<0.078,<5.5,,,긴급-국내해역
2023,8,제주해역,JE0101,2023-08-25,표층,<0.089,<0.088,<5.6,,,긴급-국내해역
2023,8,남서해역,SW0501,2023-08-25,표층,<0.079,<0.076,<6.9,,,긴급-국내해역
2023,8,남서해역,SW0401,2023-08-25,표층,<0.074,<0.083,<7.3,,,긴급-국내해역
2023,8,남서해역,SW0301,2023-08-25,표층,<0.073,<0.077,<7.4,,,긴급-국내해역
2023,8,남서해역,SW0201,2023-08-25,표층,<0.076,<0.085,<7.0,,,긴급-국내해역
2023,8,남서해역,SW0101,2023-08-25,표층,<0.084,<0.086,<7.1,,,긴급-국내해역
2023,8,남동해역,SE0501,2023-08-25,표층,<0.094,<0.098,<7.0,,,긴급-국내해역
2023,8,남동해역,SE0401,2023-08-25,표층,<0.077,<0.078,<7.0,,,긴급-국내해역
2023,8,남동해역,SE0301,2023-08-25,표층,<0.067,<0.077,<7.1,,,긴급-국내해역
2023,8,남동해역,SE0201,2023-08-25,표층,<0.078,<0.080,<7.0,,,긴급-국내해역
2023,8,남동해역,SE0101,2023-08-25,표층,<0.082,<0.087,<6.6,,,긴급-국내해역
2023,8,남중해역,SC0501,2023-08-22,표층,<0.069,<0.075,<6.5,,,긴급-국내해역
2023,8,남중해역,SC0401,2023-08-22,표층,<0.071,<0.080,<6.4,,,긴급-국내해역
2023,8,남중해역,SC0301,2023-08-22,표층,<0.070,<0.076,<6.6,,,긴급-국내해역
2023,8,남중해역,SC0201,2023-08-22,표층,<0.073,<0.081,<6.5,,,긴급-국내해역
2023,8,남중해역,SC0101,2023-08-22,표층,<0.084,<0.079,<6.7,,,긴급-국내해역
2023,8,남서해역,SW0503,2023-08-15,표층,<0.074,<0.082,<6.4,,,긴급-국내해역
2023,8,남서해역,SW0403,2023-08-15,표층,<0.078,<0.078,<6.3,,,긴급-국내해역
2023,8,남서해역,SW0303,2023-08-15,표층,<0.070,<0.077,<6.4,,,긴급-국내해역
2023,8,남서해역,SW0203,2023-08-15,표층,<0.077,<0.086,<6.3,,,긴급-국내해역
2023,8,남서해역,SW0103,2023-08-15,표층,<0.085,<0.086,<6.4,,,긴급-국내해역
2023,8,남동해역,SE0503,2023-08-15,표층,<0.075,<0.073,<6.3,,,긴급-국내해역
2023,8,남동해역,SE0403,2023-08-15,표층,<0.075,<0.076,<6.2,,,긴급-국내해역
2023,8,남동해역,SE0303,2023-08-15,표층,<0.070,<0.074,<6.2,,,긴급-국내해역
2023,8,남동해역,SE0203,2023-08-15,표층,<0.076,<0.081,<6.2,,,긴급-국내해역
2023,8,남동해역,SE0103,2023-08-15,표층,<0.082,<0.086,<6.3,,,긴급-국내해역
