정점명(영어),정점명(한국어),위도,경도 
CJ2601,제주1,"33° 31' 37""","126° 31' 58"""
CJ2602,제주2,"33° 30' 02""","126° 25' 40"""
CJ2618,한림2,"33° 27' 47""","126° 16' 28"""
CJ2619,한림3,"33° 17' 40"" ","126° 09' 36"""
CJ2614,대정1,"33° 12' 09""","126° 15' 06"""
CJ2613,서귀포1,"33° 15' 45""","126° 39' 40"""
CJ2612,서귀포2,"33° 13' 46""","126° 24' 45"""
CJ2610,표선2,"33° 19' 32""","126° 51' 56"""
CJ2604,조천1,"33° 32' 15""","126° 51' 20"""
CJ2608,성산포2,"33° 24' 41""","126° 56' 19"""
BC0102,인천2,"37° 32' 15""","126° 35' 10"""
BC0113,인천13,"37° 19' 35""","126° 21' 12"""
BC0124,아산1,"35° 12' 15""","126° 24' 45"""
CC2202,대산2,"37° 02' 41""","126° 22' 44"""
CC2206,가로림만3,"36° 56' 30""","126° 12' 00"""
HC0140,평택항H1,"36° 37' 59""","126° 49' 60"""
CC2210,태안3,"36° 37' 59""","126° 14' 05"""
BC0404,보령4,"36° 11' 16""","126° 27' 58"""
BC0413,군산9,"35° 58' 45""","126° 27' 00"""
BC0416,전주포2,"35° 50' 15""","126° 16' 00"""
CE2547,거진2,"38° 26' 25""","128° 27' 35"""
CE2533,주문진1,"35° 53' 09""","128° 27' 35"""
CE2514,죽변3,"36° 58' 29""","126° 25' 53"""
BE1609,영일만9,"36° 05' 17""","129° 27' 00"""
BE1611,영일만11,"36° 03' 56""","129° 30' 46"""
CW2302,고창3,"35° 23' 23""","126° 22' 39"""
CW2304,무안2,"35° 00' 40""","126° 17' 21"""
BW0607,목포6,"34° 46' 43""","126° 24' 06"""
CW2306,신안1,"34° 48' 22""","126° 16' 04"""
CW2308,진도1,"34° 35' 45""","126° 13' 35"""
CW2311,진도4,"35° 20' 29""","126° 18' 08"""
CW2316,완도4,"35° 14' 40""","126° 44' 20"""
CW2319,고흥2,"34° 19' 53""","127° 12' 58"""
CW2322,고흥5,"34° 28' 42""","127° 28' 45"""
CK2444,감포4,"35° 44' 47""","129° 30' 02"""
BK1418,울산2,"36° 37' 59""","126° 14' 05"""
CK2437,기장3,"35° 18' 00""","129° 17' 30"""
BK1418,부산5,"35° 02' 51""","129° 02' 45"""
CK2431,거제도동안3,"34° 46' 05""","128° 46' 28"""
HK1334,마산항H1,"35° 12' 20""","128° 35' 38"""
BK1106,광양3,"34° 54' 08""","127° 40' 56"""
CK2405,남해도남안3,"34° 36' 58""","128° 04' 00"""
CK2419,통영외안5,"34° 40' 00""","128° 23' 34"""
